line_label;line_name;from_station;to_station;station_order;station_name;longitude [deg];latitude [deg];crossing;crossing_lines
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);4;Mabilais;-1.6928079;48.1050577;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);5;Colombier;-1.6820593;48.1059051;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);6;Gares;-1.6720792;48.1042018;yes;['a', 'b']
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);7;Saint-Germain;-1.6760958;48.1105462;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);8;Sainte-Anne;-1.679925;48.1147155;yes;['a', 'b']
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);9;Jules Ferry;-1.6709285;48.1186559;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);10;Gros-Chêne;-1.6644029;48.1251771;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);11;Les Gayeulles;-1.6571557;48.1294075;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);12;Joliot-Curie - Chateaubriand;-1.6514405;48.1240547;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);13;Beaulieu - Université;-1.6391316;48.1221055;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);14;Atalante;-1.6281053;48.1271176;no;
b;Métro Rennes Ligne b Direction Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);15;Cesson - Viasilva;-1.6200373;48.1314852;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);1;Cesson - Viasilva;-1.6200739;48.1315023;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);2;Atalante;-1.628117;48.1271483;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);3;Beaulieu - Université;-1.6391442;48.122138;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);4;Joliot-Curie - Chateaubriand;-1.6513943;48.1240596;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);5;Les Gayeulles;-1.6571569;48.129439;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);6;Gros-Chêne;-1.6644484;48.1251862;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);7;Jules Ferry;-1.6709316;48.1186873;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);8;Sainte-Anne;-1.6799664;48.1146999;yes;['a', 'b']
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);9;Saint-Germain;-1.6761185;48.1105189;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);10;Gares;-1.6720876;48.1042331;yes;['a', 'b']
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);11;Colombier;-1.6820741;48.105937;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);12;Mabilais;-1.6928094;48.1050892;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);13;Cleunay;-1.7064366;48.1009351;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);14;La Courrouze;-1.6982774;48.0964124;no;
b;Métro Rennes Ligne b Direction Saint-Jacques-de-la-Lande (Gaîté);Cesson-Sévigné (Viasilva);Saint-Jacques-de-la-Lande (Gaîté);15;Saint-Jacques - Gaîté;-1.7036861;48.0920072;no;
